"Statistische Daten zu den Stadtteilen Hamburgs, © Statistikamt Nord ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wohldorf-Ohlstedt","4433.0","943.0","21.3","992.0","22.4","173.0","3.9","527.0","11.9","184.0","19.6","1960.0","2.3","603.0","30.8","545.0","27.8","86.0","15.8","17.323","256.0","30.0","26.0","338.0","30.0","329.0","51.0","9.0","1173.0","43.9","46.0","1.7","0.0","0.0","12.0","2.2","56.0","1.3","16.0","2.1","30.0","2025.0","86614.0","1442.0","1850.0","23.0","1492.0","80.6","143.136756757","59.7344913151","6.0","0.3","0.0","0.0","404.0","3071.0","2481.0","4.0","1.0","354.0","30.2","68.1","1.0","1.0","4.0","1.0","2333.0","526.280171441"
"Bergstedt","10206.0","2107.0","20.6","2260.0","22.1","313.0","3.1","1169.0","11.4","379.0","18.0","4658.0","2.2","1657.0","35.6","1271.0","27.3","248.0","19.5","7.054","1447.0","78.0","93.0","680.0","77.0","628.0","123.0","52.0","3168.0","50.9","133.0","2.1","9.0","0.9","28.0","2.4","230.0","2.3","64.0","3.7","135.0","4764.0","46426.0","2763.0","4455.0","51.0","2708.0","60.8","102.838832772","44.8899666863","188.0","4.2","7.0","3.7","376.0","2954.0","2305.0","8.0","2.0","747.0","42.6","55.4","5.0","5.0","6.0","2.0","4784.0","468.743876151"
"Volksdorf","20200.0","4146.0","20.5","5196.0","25.7","967.0","4.8","2756.0","13.7","852.0","20.6","9180.0","2.2","3363.0","36.6","2377.0","25.9","490.0","20.6","11.578","1745.0","136.0","219.0","1547.0","154.0","1450.0","218.0","97.0","5465.0","46.8","275.0","2.4","11.0","0.5","74.0","2.9","577.0","2.9","180.0","5.4","299.0","9519.0","57685.0","5389.0","8760.0","101.0","5177.0","59.1","111.919063927","48.5351980198","749.0","8.6","398.0","53.1","513.0","3493.0","3002.0","16.0","4.0","1629.0","39.5","57.9","79.0","24.0","27.0","5.0","9004.0","445.742574257"
"Rahlstedt","87783.0","14912.0","17.0","20347.0","23.2","8305.0","9.5","24039.0","27.4","6303.0","42.4","45358.0","1.9","20500.0","45.2","9414.0","20.8","2728.0","29.0","26.576","3303.0","781.0","957.0","6903.0","698.0","6494.0","1382.0","409.0","30602.0","55.4","2933.0","5.3","239.0","2.6","422.0","4.1","8956.0","10.2","2838.0","23.2","4614.0","41811.0","31196.0","14949.0","43077.0","179.0","12259.0","28.5","80.9015716043","39.7001355616","3992.0","9.3","1037.0","26.0","350.0","2524.0","2150.0","35.0","13.0","5233.0","51.3","44.1","155.0","55.0","64.0","16.0","34903.0","397.605458916"
"Lohbrügge","39069.0","6101.0","15.6","9391.0","24.0","4071.0","10.4","14089.0","36.1","3273.0","53.8","20460.0","1.9","9640.0","47.1","3845.0","18.8","1105.0","28.7","13.045","2995.0","316.0","435.0","3112.0","494.0","2928.0","677.0","184.0","13906.0","56.2","1526.0","6.2","97.0","2.2","254.0","5.7","4277.0","10.9","1163.0","23.5","2352.0","18306.0","27477.0","5642.0","19749.0","129.0","4375.0","22.2","74.6020558003","37.7106145537","2415.0","12.2","1304.0","54.0","345.0","2584.0","1806.0","13.0","4.0","2268.0","56.0","40.9","54.0","21.0","23.0","7.0","14079.0","360.362435691"
"Bergedorf","33129.0","5388.0","16.3","6843.0","20.7","3432.0","10.4","8992.0","27.1","2028.0","37.8","17684.0","1.9","8777.0","49.6","3284.0","18.6","940.0","28.6","10.356","3199.0","297.0","410.0","3622.0","612.0","3038.0","720.0","584.0","11978.0","54.7","1152.0","5.3","89.0","2.4","168.0","4.5","2960.0","8.9","766.0","17.4","1733.0","15866.0","32742.0","5064.0","16275.0","81.0","3995.0","24.5","79.544577573","39.0771831326","1062.0","6.5","644.0","60.6","370.0","2443.0","2372.0","19.0","7.0","1805.0","50.2","46.3","139.0","36.0","46.0","12.0","11549.0","348.606960669"
"Curslack","3930.0","785.0","20.0","600.0","15.3","684.0","17.4","955.0","24.2","270.0","34.3","1535.0","2.2","520.0","33.9","386.0","25.1","83.0","21.5","10.618","370.0","48.0","26.0","534.0","49.0","534.0","67.0","0.0","1340.0","49.7","97.0","3.6","8.0","1.6","14.0","3.3","232.0","5.9","72.0","11.3","125.0","1696.0","38200.0","924.0","1428.0","8.0","950.0","66.5","104.338235294","37.9122137405","17.0","1.2","12.0","70.6","207.0","1822.0",".","1.0","1.0","269.0","55.0","40.9","6.0","5.0","0.0","1.0","1719.0","437.404580153"
"Altengamme","2199.0","420.0","19.1","439.0","20.0","53.0","2.4","149.0","6.8","48.0","11.5","987.0","2.2","311.0","31.5","260.0","26.3","58.0","22.3","15.613","141.0","20.0","17.0","131.0","25.0","157.0","51.0","-26.0","829.0","57.9","33.0","2.3","3.0","1.3","7.0","2.4","80.0","3.6","34.0","10.3","33.0","1064.0","44570.0","632.0","886.0","8.0","686.0","77.4","107.362302483","43.2573897226","4.0","0.5","0.0","0.0","172.0","2344.0",".","1.0","1.0","167.0","55.7","41.9","2.0","2.0","0.0","0.0","1179.0","536.152796726"
"Neuengamme","3584.0","606.0","16.9","761.0","21.2","112.0","3.1","245.0","6.8","50.0","8.3","1629.0","2.2","554.0","34.0","379.0","23.3","74.0","19.5","18.618","193.0","22.0","29.0","306.0","38.0","273.0","54.0","33.0","1320.0","56.4","62.0","2.6","6.0","1.6","7.0","1.6","79.0","2.2","16.0","3.3","50.0","1766.0","35802.0","1029.0","1496.0","11.0","1115.0","74.5","107.885026738","45.0323660714","20.0","1.3","0.0","0.0","191.0","1972.0",".","2.0","0.0","228.0","61.8","36.4","1.0","1.0","2.0","0.0","1909.0","532.645089286"
"Kirchwerder","9286.0","1607.0","17.3","1849.0","19.9","301.0","3.2","726.0","7.8","179.0","11.1","4255.0","2.2","1399.0","32.9","1012.0","23.8","211.0","20.8","32.354","287.0","60.0","72.0","599.0","79.0","567.0","134.0","32.0","3712.0","60.3","139.0","2.3","14.0","1.4","30.0","2.4","198.0","2.1","44.0","3.4","126.0","4681.0","36752.0","2692.0","3938.0","38.0","2964.0","75.3","106.899441341","45.333835882","34.0","0.9","8.0","23.5","179.0","1865.0",".","8.0","3.0","594.0","66.0","31.6","8.0","8.0","3.0","2.0","5062.0","545.121688563"
"Ochsenwerder","2451.0","414.0","16.9","514.0","21.0","177.0","7.2","298.0","12.2","80.0","19.3","1152.0","2.2","401.0","34.8","256.0","22.2","45.0","17.6","14.08","174.0","13.0","16.0","245.0","13.0","201.0","41.0","44.0","890.0","55.6","46.0","2.9","6.0","2.4","11.0","3.9","55.0","2.2","12.0","3.6","33.0","1147.0","33972.0","675.0","1022.0","12.0","718.0","70.3","119.594911937","49.8678090575","3.0","0.3","0.0","0.0","172.0","1817.0",".","1.0","1.0","138.0","62.3","34.8","2.0","2.0","0.0","0.0","1404.0","572.827417381"
"Reitbrook","484.0","60.0","12.4","124.0","25.6","32.0","6.6","55.0","11.4","9.0","15.0","238.0","2.0","93.0","39.1","38.0","16.0","5.0","13.2","6.914","70.0","5.0","6.0","53.0","1.0","58.0","2.0","-5.0","166.0","52.9","6.0","1.9","0.0","0.0","3.0","3.9","8.0","1.7","3.0","6.5","6.0","238.0","34580.0","143.0","224.0","2.0","148.0","66.1","118.919642857","55.0371900826","0.0","0.0","0.0","0.0","168.0",".",".","0.0","0.0","27.0","66.7","33.3","0.0","0.0","2.0","0.0","280.0","578.512396694"
"Allermöhe","1322.0","212.0","16.0","253.0","19.1","76.0","5.7","220.0","16.6","52.0","24.6","631.0","2.1","234.0","37.1","129.0","20.4","26.0","20.2","8.655","153.0","10.0","6.0","136.0","7.0","156.0","18.0","-20.0","488.0","54.2","22.0","2.4","3.0","2.1","3.0","1.6","29.0","2.2","6.0","3.6","16.0","653.0","35822.0","448.0","579.0","7.0","496.0","85.7","114.708117444","50.23903177","0.0","0.0","0.0","0.0","169.0","2126.0",".","2.0","0.0","89.0","53.9","44.9","0.0","0.0","7.0","0.0","746.0","564.296520424"
"Billwerder","1335.0","197.0","14.8","263.0","19.7","167.0","12.5","266.0","20.0","39.0","19.8","671.0","2.0","307.0","45.8","116.0","17.3","29.0","25.0","9.473","141.0","8.0","10.0","156.0","22.0","124.0","15.0","32.0","434.0","47.9","35.0","3.9","3.0","2.5","7.0","4.1","64.0","4.8","20.0","12.0","34.0","618.0","29391.0","377.0","554.0","5.0","400.0","72.2","93.4133574007","38.7647940075","0.0","0.0","0.0","0.0","176.0",".",".","1.0","1.0","66.0","51.5","45.5","0.0","0.0","0.0","0.0","583.0","436.70411985"
"Moorfleet","1249.0","217.0","17.4","192.0","15.4","186.0","14.9","305.0","24.6","71.0","33.0","595.0","2.0","263.0","44.2","124.0","20.8","16.0","12.9","4.275","292.0","3.0","6.0","207.0","11.0","136.0","20.0","71.0","413.0","46.5","41.0","4.6","3.0","2.2","8.0","5.0","75.0","6.0","16.0","9.5","47.0","569.0","32536.0","328.0","439.0","2.0","354.0","80.6","101.025056948","35.5084067254","0.0","0.0","0.0","0.0","163.0","1808.0",".","0.0","0.0","66.0","65.2","31.8","0.0","0.0","0.0","0.0","628.0","502.802241793"
"Tatenberg","537.0","99.0","18.4","103.0","19.2","15.0","2.8","42.0","7.8","12.0","11.9","232.0","2.3","68.0","29.3","65.0","28.0","7.0","10.8","3.102","173.0","6.0","5.0","31.0","2.0","38.0","0.0","-7.0","211.0","60.6","7.0","2.0","0.0","0.0","3.0","4.6","9.0","1.7","0.0","0.0","6.0","254.0","38768.0","158.0","216.0","3.0","180.0","83.3","115.037037037","46.2718808194","0.0","0.0","0.0","0.0","180.0",".",".","0.0","0.0","37.0","59.5","40.5","0.0","0.0","0.0","0.0","306.0","569.832402235"
"Spadenland","478.0","83.0","17.4","100.0","20.9","13.0","2.7","21.0","4.4","6.0","7.2","222.0","2.2","77.0","34.7","48.0","21.6","6.0","12.5","3.398","141.0","4.0","3.0","32.0","3.0","52.0","12.0","-20.0","179.0","57.6","10.0","3.2","0.0","0.0","3.0","4.9","9.0","1.9","0.0","0.0","8.0","262.0","30006.0","112.0","200.0","4.0","120.0","60.0","109.48","45.8075313808","0.0","0.0","0.0","0.0","179.0",".",".","0.0","0.0","34.0","64.7","35.3","0.0","0.0","0.0","0.0","278.0","581.589958159"
"Neuallermöhe","23762.0","5817.0","24.5","1611.0","6.8","3804.0","16.0","14705.0","61.9","4283.0","73.9","9391.0","2.5","2629.0","28.0","3381.0","36.0","897.0","26.5","4.208","5647.0","288.0","72.0","1765.0","184.0","1838.0","311.0","-73.0","9280.0","53.1","1193.0","6.8","99.0","2.6","158.0","5.9","4472.0","18.8","1579.0","33.8","1903.0","9307.0","26777.0","3115.0","8975.0","139.0","2427.0","27.0","80.387632312","30.3627219931","5133.0","57.2","476.0","9.3","259.0",".",".","8.0","3.0","2079.0","55.9","40.5","13.0","7.0","0.0","2.0","7414.0","312.010773504"
"Harburg","22674.0","3285.0","14.5","2767.0","12.2","7549.0","33.3","11973.0","52.8","2496.0","76.5","13515.0","1.6","8565.0","63.4","2002.0","14.8","652.0","32.6","3.855","5882.0","278.0","210.0","4072.0","425.0","3937.0","431.0","135.0","7978.0","46.7","1565.0","9.2","119.0","3.4","169.0","9.0","4121.0","18.2","1242.0","43.7","2244.0","9339.0","19246.0","1483.0","11774.0","236.0","229.0","1.9","59.9154917615","31.1125077181","1121.0","9.5","351.0","31.3","258.0",".","1958.0","13.0","3.0","937.0","68.8","19.3","168.0","37.0","60.0","16.0","4527.0","199.655993649"
"Neuland und Gut Moor","1511.0","295.0","19.5","240.0","15.9","297.0","19.7","477.0","31.6","154.0","52.9","719.0","2.1","295.0","41.0","156.0","21.7","36.0","23.1","10.012","151.0","17.0","13.0","277.0","20.0","163.0","18.0","114.0","525.0","51.3","45.0","4.4","8.0","4.2","9.0","5.1","87.0","5.8","24.0","9.7","41.0","689.0","31010.0","423.0","558.0","1.0","459.0","82.3","102.304659498","37.7802779616","0.0","0.0","0.0","0.0","156.0","1783.0",".","0.0","1.0","106.0","70.8","23.6","0.0","0.0","0.0","0.0","674.0","446.062210457"
"Wilstorf","16225.0","2553.0","15.7","3410.0","21.0","2967.0","18.3","5874.0","36.2","1493.0","59.0","8977.0","1.8","4733.0","52.7","1604.0","17.9","497.0","31.0","3.482","4660.0","196.0","188.0","1861.0","212.0","1901.0","374.0","-40.0","5855.0","54.8","766.0","7.2","62.0","3.3","89.0","5.3","2042.0","12.6","680.0","31.8","1046.0","7797.0","23985.0","2026.0","8333.0","1.0","1451.0","17.4","68.8483139326","35.3598151002","837.0","10.0","180.0","21.5","266.0","1987.0","1931.0","10.0","1.0","763.0","55.3","37.7","18.0","11.0","4.0","3.0","5276.0","325.177195686"
"Rönneburg","3203.0","607.0","19.0","595.0","18.6","293.0","9.1","843.0","26.3","227.0","37.6","1515.0","2.2","581.0","38.3","367.0","24.2","78.0","21.3","2.263","1415.0","30.0","21.0","244.0","35.0","260.0","55.0","-16.0","1210.0","57.0","74.0","3.5","6.0","1.5","20.0","5.3","152.0","4.7","41.0","8.4","81.0","1461.0","56002.0","771.0","1383.0","3.0","753.0","54.4","96.1467823572","41.5145176397","153.0","11.1","0.0","0.0","246.0","2052.0",".","1.0","1.0","232.0","47.0","50.4","0.0","0.0","1.0","0.0","1403.0","438.026849828"
"Langenbek","4098.0","634.0","15.5","861.0","21.0","329.0","8.0","1137.0","27.7","257.0","40.3","2014.0","2.1","778.0","38.6","417.0","20.7","118.0","28.3","0.838","4890.0","24.0","39.0","359.0","66.0","295.0","79.0","64.0","1532.0","55.5","121.0","4.4","8.0","1.5","31.0","4.9","242.0","5.9","68.0","14.3","131.0","1963.0","31482.0","1194.0","1863.0","10.0","1129.0","60.6","86.7369833602","39.4316739873","352.0","18.9","62.0","17.6","243.0","1925.0",".","1.0","0.0","244.0","47.5","46.7","0.0","0.0","0.0","1.0","1722.0","420.204978038"
"Sinstorf","3553.0","715.0","20.1","700.0","19.7","575.0","16.2","1130.0","31.9","376.0","52.9","1586.0","2.1","629.0","39.7","367.0","23.1","79.0","21.5","2.561","1387.0","29.0","32.0","430.0","60.0","376.0","87.0","54.0","1220.0","53.4","100.0","4.4","13.0","3.2","18.0","5.2","301.0","8.5","102.0","17.9","133.0","1615.0","31736.0","830.0","1447.0","4.0","869.0","60.1","90.8901174845","37.0160427807","92.0","6.4","92.0","100.0","220.0","2133.0","1766.0","2.0","1.0","259.0","54.8","40.9","9.0","3.0","3.0","0.0","1383.0","389.248522375"
"Marmstorf","8801.0","1332.0","15.1","2632.0","29.9","722.0","8.2","1940.0","22.0","476.0","35.8","4572.0","2.0","1889.0","41.3","863.0","18.9","228.0","26.4","5.816","1513.0","53.0","89.0","627.0","102.0","579.0","117.0","48.0","2792.0","54.5","232.0","4.5","15.0","1.7","39.0","3.9","452.0","5.1","134.0","12.8","238.0","4377.0","34488.0","2213.0","4231.0","9.0","2115.0","50.0","89.1153391633","42.8413816612","110.0","2.6","0.0","0.0","306.0","2086.0","1903.0","3.0","1.0","525.0","37.3","58.1","7.0","5.0","4.0","2.0","3859.0","438.472900807"
"Eißendorf","23861.0","3906.0","16.4","5168.0","21.7","3498.0","14.7","8002.0","33.5","1997.0","51.1","12737.0","1.9","6208.0","48.7","2450.0","19.2","674.0","27.5","8.371","2850.0","233.0","278.0","2454.0","323.0","2304.0","472.0","150.0","8282.0","53.6","964.0","6.2","94.0","3.4","134.0","5.1","2382.0","10.0","780.0","24.0","1227.0","11427.0","30756.0","4197.0","11810.0","45.0","3581.0","30.3","78.0375105843","38.6246594862","907.0","7.7","271.0","29.9","287.0","2081.0","2093.0","7.0","2.0","1295.0","53.4","41.3","13.0","9.0","9.0","2.0","8643.0","362.222874146"
"Heimfeld","20779.0","3580.0","17.2","3415.0","16.4","4082.0","19.6","8161.0","39.3","2037.0","57.2","11587.0","1.8","6430.0","55.5","2185.0","18.9","609.0","27.9","11.717","1773.0","250.0","253.0","2905.0","291.0","2807.0","364.0","98.0","7613.0","53.0","932.0","6.5","56.0","2.1","141.0","7.4","2383.0","11.5","692.0","23.0","1332.0","9504.0","28235.0","2451.0","10279.0","17.0","1519.0","14.8","70.9719817103","35.1085711536","1493.0","14.5","32.0","2.1","294.0","2144.0","1907.0","9.0","2.0","1146.0","51.9","33.2","21.0","9.0","12.0","4.0","6101.0","293.613744646"
"Moorburg und Altenwerder","732.0","143.0","19.5","102.0","13.9","40.0","5.5","87.0","11.9","18.0","12.6","377.0","2.0","177.0","46.9","87.0","23.1","21.0","24.1","16.817","44.0","15.0","3.0","94.0","10.0","88.0","18.0","6.0","256.0","49.8","24.0","4.7","3.0","3.4","8.0","8.3","49.0","6.7","13.0","11.2","27.0","354.0","36862.0","225.0","325.0","1.0","242.0","74.5","99.5815384615","44.2131147541","0.0","0.0","0.0","0.0","145.0",".",".","3.0","0.0","52.0","75.0","21.2","0.0","0.0","0.0","0.0","345.0","471.31147541"
"Hausbruch","17034.0","3336.0","19.6","3282.0","19.3","2257.0","13.2","8682.0","50.9","2251.0","67.5","7489.0","2.3","2613.0","34.9","1972.0","26.3","493.0","25.0","11.18","1524.0","146.0","142.0","1313.0","162.0","1369.0","264.0","-56.0","5797.0","52.3","859.0","7.8","59.0","2.6","133.0","6.3","2673.0","15.7","875.0","32.8","1205.0","7260.0","28667.0","2874.0","7088.0","20.0","2614.0","36.9","83.8861455982","34.9057766819","1446.0","20.4","360.0","24.9","220.0","2039.0","1697.0","9.0","2.0","1275.0","67.1","27.4","15.0","4.0","10.0","2.0","5896.0","346.131266878"
"Neugraben-Fischbek","27160.0","4914.0","18.1","6012.0","22.1","2905.0","10.7","10614.0","39.0","2785.0","56.7","13045.0","2.1","4980.0","38.2","2894.0","22.2","747.0","25.8","22.511","1207.0","234.0","234.0","2103.0","339.0","1952.0","553.0","151.0","9065.0","52.9","1257.0","7.3","107.0","3.4","218.0","6.4","3698.0","13.6","1150.0","28.6","1770.0","11991.0","28670.0","5386.0","12034.0","82.0","4937.0","41.0","84.57204587","37.472017673","996.0","8.3","281.0","28.2","244.0","2116.0","1539.0","14.0","6.0","1755.0","64.2","30.5","35.0","15.0","20.0","5.0","10013.0","368.667157585"
"Francop","677.0","120.0","17.7","121.0","17.9","40.0","5.9","71.0","10.5","8.0","6.7","329.0","2.1","131.0","39.8","70.0","21.3","17.0","24.3","9.089","74.0","3.0","11.0","65.0","14.0","53.0","16.0","12.0","264.0","56.1","15.0","3.2","0.0","0.0","3.0","3.8","30.0","4.4","11.0","12.9","17.0","331.0","34280.0","191.0","322.0","2.0","230.0","71.4","98.4751552795","46.8375184638","0.0","0.0","0.0","0.0","148.0","1889.0",".","0.0","0.0","40.0","42.5","55.0","1.0","0.0","0.0","0.0","335.0","494.830132939"
"Neuenfelde","4481.0","954.0","21.3","702.0","15.7","992.0","22.1","1751.0","39.1","521.0","55.1","2002.0","2.3","749.0","37.4","506.0","25.3","105.0","20.8","15.502","289.0","53.0","31.0","468.0","86.0","447.0","114.0","21.0","1495.0","50.0","215.0","7.2","18.0","3.0","29.0","5.7","466.0","10.4","159.0","20.2","201.0","1884.0","33272.0","1022.0","1917.0","15.0","1166.0","60.8","95.3145539906","40.7761660344","291.0","15.2","0.0","0.0","145.0","1445.0",".","3.0","1.0","325.0","63.1","34.5","1.0","1.0","3.0","1.0","1828.0","407.944655211"
"Cranz","759.0","120.0","15.8","147.0","19.4","101.0","13.3","202.0","26.6","52.0","43.0","417.0","1.9","210.0","50.4","71.0","17.0","18.0","25.4","1.332","570.0","13.0","5.0","79.0","18.0","89.0","37.0","-10.0","287.0","56.4","32.0","6.3","0.0","0.0","4.0","3.8","68.0","9.0","19.0","18.4","38.0","368.0","31326.0","165.0","388.0","0.0","145.0","37.4","87.4175257732","44.6877470356","0.0","0.0","0.0","0.0","150.0",".",".","1.0","1.0","39.0","53.8","38.5","2.0","2.0","0.0","0.0","343.0","451.910408432"
"Hamburg-Mitte","289876.0","45260.0","15.6","42241.0","14.6","74998.0","25.9","130254.0","46.0","31067.0","68.8","162283.0","1.8","94125.0","58.0","27029.0","16.7","8260.0","30.6","142.3","2037.0","3167.0","2416.0","31902.0","2631.0","31266.0","3590.0","636.0","102778.0","49.0","17073.0","8.1","1335.0","3.7","2177.0","7.4","49650.0","17.1","14558.0","38.3","26229.0","130535.0","23802.0","23514.0","141303.0","759.0","12880.0","9.1","65.7513782439","32.051177055","24825.0","17.6","6472.0","26.1",".",".",".","137.0","39.0","14391.0","64.7","28.6","694.0","246.0","271.0","75.0","74213.0","256.016365618"
"Altona","259897.0","44559.0","17.1","47917.0","18.4","37204.0","14.3","76084.0","29.3","18559.0","41.7","143607.0","1.8","77065.0","53.7","27435.0","19.1","7291.0","26.6","77.930631","3335.0","2739.0","2521.0","22073.0","2371.0","19627.0","3177.0","2446.0","88426.0","50.7","10116.0","5.8","720.0","2.9","1485.0","5.5","23795.0","9.2","6263.0","16.6","13781.0","127443.0","45726.0","37006.0","130706.0","1036.0","28605.0","21.9","80.6581105688","40.5641427181","12455.0","9.5","4345.0","34.9",".",".",".","196.0","39.0","13773.0","45.4","51.3","802.0","204.0","244.0","68.0","86486.0","332.770289769"
"Eimsbüttel","252340.0","36602.0","14.5","48760.0","19.3","29011.0","11.5","61650.0","24.4","13634.0","37.4","148245.0","1.7","84736.0","57.2","23701.0","16.0","6125.0","25.8","49.817278","5065.0","2692.0","2274.0","23938.0","2532.0","21377.0","3421.0","2561.0","95705.0","55.4","7809.0","4.5","464.0","1.9","1223.0","4.5","15704.0","6.2","3828.0","12.5","9600.0","133310.0","40046.0","31230.0","137695.0","909.0","21557.0","15.7","75.9067286394","41.4202147896","6381.0","4.6","2681.0","42.0",".",".",".","184.0","34.0","11050.0","42.9","53.5","817.0","156.0","280.0","60.0","88403.0","350.332884204"
"Hamburg-Nord","291293.0","36878.0","12.7","49506.0","17.0","33586.0","11.5","68711.0","23.6","13821.0","37.7","185126.0","1.6","117796.0","63.6","24165.0","13.1","6953.0","28.8","57.76883","5042.0","3178.0","2764.0","31347.0","3233.0","28769.0","4158.0","2578.0","122005.0","58.0","10176.0","4.8","607.0","2.1","1596.0","5.4","20194.0","6.9","4640.0","14.8","13089.0","158301.0","38676.0","30408.0","171575.0","1162.0","16149.0","9.4","67.9041352178","39.9963335885","8241.0","4.8","4056.0","49.2",".",".",".","170.0","30.0","10629.0","46.4","50.0","984.0","253.0","297.0","83.0","94804.0","325.459245502"
"Wandsbek","417225.0","68565.0","16.4","93564.0","22.4","41896.0","10.0","109568.0","26.3","27885.0","40.8","220243.0","1.9","105433.0","47.9","42645.0","19.4","10983.0","25.8","147.544918","2828.0","3687.0","4621.0","28445.0","3296.0","26267.0","5524.0","2178.0","145288.0","54.4","13911.0","5.2","1023.0","2.3","2317.0","4.7","37378.0","9.0","10991.0","19.5","19877.0","204376.0","36917.0","75815.0","206222.0","1240.0","64951.0","31.5","83.1941548428","41.1204146444","17764.0","8.6","4620.0","26.0",".",".",".","215.0","60.0","23508.0","47.7","48.5","781.0","274.0","368.0","86.0","166081.0","398.060998262"
"Bergedorf","122815.0","22006.0","17.9","23043.0","18.8","13123.0","10.7","41068.0","33.5","10400.0","47.4","59682.0","2.0","25273.0","42.3","13323.0","22.3","3502.0","26.3","154.758466","794.0","1100.0","1113.0","8164.0","1540.0","7335.0","2122.0","829.0","45146.0","55.1","4369.0","5.3","331.0","2.2","676.0","4.7","12547.0","10.2","3731.0","21.0","6472.0","56427.0","30910.0","21339.0","55981.0","449.0","18928.0","33.8","83.4924706597","38.0571754265","8688.0","15.5","2444.0","28.1",".",".",".","56.0","21.0","7867.0","55.7","41.1","225.0","82.0","83.0","24.0","47136.0","383.796767496"
"Harburg","155548.0","26494.0","17.0","30154.0","19.4","26647.0","17.1","60944.0","39.2","15148.0","57.4","80881.0","1.9","38968.0","48.2","16011.0","19.8","4372.0","27.3","125.215448","1242.0","1574.0","1549.0","12582.0","2163.0","11851.0","2999.0","731.0","54171.0","52.3","7201.0","7.0","568.0","2.9","1045.0","6.2","19146.0","12.3","5990.0","27.4","9731.0","70360.0","28485.0","25451.0","73752.0","446.0","21439.0","29.1","77.0629813429","36.5388754597","7798.0","10.6","1629.0","20.9",".",".",".","76.0","22.0","8993.0","58.4","34.4","290.0","96.0","126.0","36.0","52348.0","336.539203333"
"Hamburg","1788994.0","280364.0","15.7","335185.0","18.7","256465.0","14.3","548279.0","30.8","130514.0","46.7","1000067.0","1.8","543396.0","54.3","174309.0","17.4","47486.0","27.2","755.296231","2369.0","18137.0","17258.0","96782.0","17766.0","84823.0","24991.0","11959.0","656459.0","53.8","71125.0","5.8","5166.0","2.7","10556.0","5.4","178824.0","10.0","50102.0","21.4","99059.0","915670.0","35567.0","244763.0","917234.0","6001.0","184509.0","20.1","75.7167756538","38.8207009079","86680.0","9.5","26775.0","30.9","515.0","3025.0","3212.0","1034.0","245.0","92983.0","51.0","44.4","4593.0","1311.0","1669.0","432.0","609526.0","340.708800588"
